学年,年度,授業開始時間,科目,コメント
小6,2026,2026/8/19 11:20,算数,"本日はまず計算方法の理解度の確認から始めました。最初の整数の四則演算は計算の順番は理解していて概ね良く出来ていましたが、1+9×(10-3)などの問題で括弧内を計算したあとに掛け算を後回しにしてしまう間違いが見られました。一度式を書き直して1+9×7にすれば正しく計算できているので、途中の式変形をしっかり書くことでミスを防ぐように指導していきます。
その次は分数の計算を扱いました。通分での足し算引き算は出来ていたものの、帯分数が入ると足し算なのに約分してしまうなど、掛け算との混同が見られました。計算の順番の違いから足し算は計算が終わってから約分をしなければならないことを説明し、その後は問題なく解くことができました。掛け算割り算も問題なく解けています。
最後の小数も小数点の移動に足し算と掛け算の混同が見られましたが説明後は正しく書けていました。
全体としては勘違いしているところや抜けているところがあるものの、しっかり書き込みながら問題に取り組んでいますし字も丁寧です。授業にもしっかり集中できていて、説明時に分からないときは頷かないため、きちんと理解しようとする姿勢も見て取れるため、伸びていきそうな印象を受けます。小学校範囲を総復習しながら出来ていない部分を修正していく進め方でいければと思います。"
小6,2026,2026/8/19 9:50,国語,本日は語句の意味から始めました。3割ほどは自分で解けていて、残りについては聞いたことはあるものの自分で思いつける程ではないという感じだったので、少しずつ覚えていってもらえたらと思います。その後物語文に入りましたが、記述などもしっかりポイントを理解して書くことが出来ていました。書抜きの問題で本文とは違う形で書いてしまっていたのでこの点のみ気をつけるように指導しています。
中3,2026,2026/8/18 17:20,数学,本日も二次関数を扱いました。文章から関数の式を作って、xやyを入れて解く問題でしたが、式を作ってもそれを使わなかったり、すでに求めたaを使って式を作ったりと、関数のイメージがついていなかったりどういう順番で何を求めているのが分かっていなかったりしたため、具体的な事例で関数とは何かを理解するところから始めました。また、代入した後の方程式も分数になると出来なくなっているため、式変形で解く方法を再度確認しました。
中3,2026,2026/8/18 15:50,国語,本日も引き続き古文を進めました。干支と方角は大丈夫そうでしたが月の名前は怪しかったのでその場で覚えてもらいました。一つ一つ覚え方を確認して一度テストすれば覚えられたので、この調子で他の教科や英単語も覚えるようにしてください。後半は文法で用言の活用と助詞と、敬語を扱いました。このあたりの意味が分かると読解がかなり楽になるのでしっかり覚えて意識しながら読むようにしましょう。次回は一旦漢文の訓読について扱います。
小5,2026,2026/8/18 11:20,国語,本日は引き続き物語の心情変化に関する問題を扱いました。最初の3問が間違っていたため一緒に設問を確認し、会話しながら進めました。問いかけに対して最初は本文を指さしてこの辺りと答える感じでしたが、どの言葉かを問うと適切に答えられることが多いです。読めてはいるということなので、最初に見つけた箇所をそのまま書くのではなく、問いに対して短く答えを作ってから増やしていくように伝えています。
小5,2026,2026/8/18 9:50,算数,少し間が空いたので、復習のために前回範囲の定着問題を扱いました。なんとなくは覚えていたようですが、本当になんとなく割ってみたり60を掛けてみたりしているので、改めて意味を確認しました。その後忘れていた分数計算を復習して分数の時間の単位を変える問題に取り組みました。毎回1時間=60分等を書いてから式を作るように指示して進めましたが、分を時間に変える問題で1分=60秒と書くなど、なかなか苦戦してしまいました。ただ単純に時間や速さを求める問題はできていて、時間の単位換算が特に苦手なようですので次回再度確認します。
中3,2026,2026/8/17 18:50,英語,本日は不定詞の応用でIt is -for 人 to doの形を扱いました。形はしっかり覚えて使うことが出来ています。語順などで間違えることがないのは素晴らしいです。人称代名詞やスペルのミスは少しずつなくしていきましょう。また、書き始める前に現在形か過去形か、肯定か否定か、平叙文か疑問文かを必ず確認するようにして下さい。後半はwant 人to doの形を扱いました。こちらは主語と目的語の混同があるので気をつけましょう。
中3,2026,2026/8/17 17:20,数学,本日は二次関数の応用に進みましたが、座標やグラフと式の関係が分からなくなってしまっているようでした。また、「分からないものを文字で表して式を作って解く」という数学の基本に慣れていないためか、文字のまま進めることに抵抗があり、理解にかなり時間がかかってしまいました。今後の問題を特には必須の考え方なので早めに身につけられるようにしていきましょう。
中2,2026,2026/8/17 17:20,数学,本日は前回に引き続き連立方程式の応用を扱いました。割合の問題などは式を作れているものの計算で間違ってしまっている問題が多々ありました。特に九九で間違えるのは勿体ないので注意しましょう。また、分数を掛ける際は先に約分したほうが楽なので慣れていきましょう。速さの問題は手が止まってしまうことがあったので、とにかく表にしてから道のりの式と時間の式を作るようにして下さい。
小6,2026,2026/8/17 11:20,算数,本日は合同と相似の続きから扱いました。相似の発見はスムーズになってきましたが、なぜか整数×分数の計算方法を忘れてしまっていたので改めて指導しました。また、面積を求めているはずなのに途中で逸れていって比を計算してしまうこともありました。問題が複雑になってきているので多少は仕方ないですが、ある程度道筋を考えてから計算すること、計算した結果が何を表しているのかを考えることの重要性を今後も伝えていきます。
高3,2026,2026/8/17 9:50,数学,"引き続き数2Bの基礎問題精講を進めていきます。多項定理の理解に時間が掛かってしまいましたが、「カッコから文字を選ぶ」 という作業は、「文字（\(a, a, b, b, c\)）をカッコの順に並べる」 ことと全く同じだということを自分で実際に確かめてみると理解が深まるかと思います。"
小6,2026,2026/8/17 9:50,国語,本日は説明文から扱いました。ディベートを題材に論理的に考えることだけが正しいわけではないという内容の文章でしたが、抽象的な議論が多かったためか後半の記述では手が止まってしまいました。特に確かに・しかし・のような譲歩の構造に慣れていないようで、この点について実際の文章からピックアップしてしかしのあとに筆者の意見が来ることを確認しました。その後言葉の意味を扱いましたが、知らないものが多いため、どんどん文章に触れて語彙を増やしていければと思います。
中2,2026,2026/8/7 17:20,国語,本日は報告書の構成、手紙の構成、夢を跳ぶの漢字まで扱いました。内容をしっかり捉えて解くことが出来ていました。漢字は宿題でやってきたものの一部が書けなかったり読めなかったりしていたので、次回はきっちり覚えてくるようにしてください。特に漢字は一部が読みを表していることが多いので、その点を意識すると覚えやすくなるはずです。また、意味を理解すると読みも分かりやすくなるので、知らない単語は意味を調べてみるようにしましょう。
小6,2026,2026/8/7 17:20,算数,本日は縮尺の確認から始めました。前回とは違って単位換算はスムーズに行うことが出来ていました。面積比は相似比の2乗になる点は難しいので、適当な長さをおいて縦横を縮図にしてから計算するようにしています。後半は相似の応用を扱いました。図形の中から掃除になる部分を見つけるのに苦労してましたが、ある程度典型的な形は見つけられるようになったかと思います。宿題範囲は少し難しい問題が続きますので、しっかり図を書いて考えるようにしてください。
中3,2026,2026/8/7 15:50,数学,"本日は二次関数を進めました。宿題では解き方はあっているのに数字を書き間違えたり途中で満足してしまったりしていて勿体ないです。特に後者に関してはしっかり図を書く、一つ一つ何を計算しているのかを自覚的に解くことが大切です。あるいは計算の前に何をどの順で計算するかメモするのも有効です。解ける問題を落とさないことが何よりも大切なので、普段の演習から意識していきましょう。
また、文字を使って式を作り、それを解くことで必要な値を求めるのが数学の基本です。分からない値を計算する方法を探すのではなく、分からない値を文字にして成り立つ式を作る方針で考えていくようにしましょう。"
中3,2026,2026/8/7 14:20,国語,今回は神山の国語の最後の問題で定番となっている作文について扱いました。異なる意見を統合することが求められ、かつ論文ではなく会議中での意見という形式を取っているため、単に説得するのでも論破するのでもなく納得させることが重要です。まず共感、受容の姿勢を示しつつ、対立の図式から課題を整理して、新たな案でそれらが解決されることを示すような書き方にしましょう。その際には共通の目的から考えて語ることを意識しましょう。
中3,2026,2026/8/7 11:20,理科,本日は物理分野に移って光と音、力について扱いました。光の凸レンズの問題は光がどう通るのかを考えながら、同じ場所から出た光が一点に集中した時にきれいな像が出来ることを考えると分かりやすくなるはずです。音はよくできていたので問題ないかと思われます。化学分野の応用問題を宿題に出していますが、分からなくなったら飛ばしてどんどん先へ進めていってください。また、英語と社会についても計画的に進めていきましょう。
中3,2026,2026/8/7 9:50,数学,"本日は二次関数の応用の解説から始めました。応用問題は図を書いてみて、問題文の条件（面積を二等分など）を満たすためにはどんな直線になるかを考えてみることが必要です。また、座標が分からない点が出てきたらx座標をtなどの文字であらわし、それを元に式を作っていくのが基本方針になります。
後半は相似を扱いました。掃除の基本は問題なくできていそうですが、証明問題で複雑な図形になったときに手が止まってしまいました。角度の問題はとにかくわかる角度をどんどん書き込んでいくことが一番の突破口になること、どこがどういう角度にならなければならないかを逆算してかんがえることを意識していきましょう。"
高3,2026,2026/8/7 9:50,理科,"本日は遺伝の仕組みの確認と、遺伝情報の発現の解説を行いました。遺伝子型と表現型については原則場合の数と同じなので、表を書いて計算するようにしてください。また、表のどの位置にどの表現型が来るかは決まっているので、形で覚えてしまうのも有効です。
遺伝情報の発現については大まかな流れをとらえてから細部をイメージしていくことがポイントです。それぞれの仕組みと、なぜその仕組みになっているかを併せて覚えると忘れにくくなるはずです。"
中2,2026,2026/8/6 17:20,数学,"本日は学校ワークの連立方程式の応用と、一時関数を扱いました。連立方程式の応用に関しては一見ややこしくても落ち着いて一つずつ式にすればできることが分かったと思うので、あきらめずに取り組むようにしてください。
一次関数については後半のグラフは問題なく出来ていました。前半の変化の割合と増加量については、定義を正しく覚えてそこに当てはめていくことが必要です。"
中2,2026,2026/8/6 17:20,数学,"本日は数学の連立方程式の利用の続きを進めました。代金等の問題はしっかり式を作ることが出来ていました。計算の際に引き算や掛け算で間違えてしまうことが多いので注意しましょう。
後半は割合・濃度・速さを扱いました。食泉水の濃度は①食塩水の重さと②食塩の重さで、速さの問題は道のり・速さ・時間の表を作ってから①道のり②時間の式を作ることを覚えておきましょう。"
中3,2026,2026/8/6 15:50,国語,"本日は神山の過去問に引き続き取り組みました。複数の選択肢から正解を選ぶこと自体は問題なく出来ていますが、間違いの選択肢がなぜ間違いなのかを説明したり、それぞれの選択肢の正誤を正確に判定する問題がやや苦手なようです。次回は過去問の作文パートを扱い、その後はテキストで論説文を扱っていこうと思います。
"
中2,2026,2026/8/6 15:50,英語,本日はas～asを使った同等比較の表現を扱いました。穴埋めや和訳はほとんど間違えることなく進めることが出来ました。並び替えや英作文ではasの位置を間違えてしまうことがありましたので、前のasは比較する内容、後ろのasは比較対象の前に付けることを覚えておきましょう。また、比較の英作文は一気に考えるとややこしくなりがちなので、まずは比較を無視して誰が何するの分を作ってから比較の要素を付け足していくようにしましょう。英作文の際にとりあえずbe動詞を書きがちなので、書く前にどちらの動詞を使うか考えたから書き始めるようにしてください。
中3,2026,2026/8/6 14:20,数学,本日は二次方程式の発展問題の解説から始めました。式は作れているものの、そこから正確に解くことが出来ていない問題が多かったようです。方程式はどんどん変形するのが基本なので、左に全部寄せてx2乗から順位並べ、見知った形にするように癖づけていきましょう。後半は少しだけ二次関数に入りました。グラフの特徴さえ覚えていしまえば一次関数の問題と同じなので、発展問題にも取り組んでみてください。
中2,2026,2026/8/6 14:20,数学,本日も引き続き一次関数を扱いました。全体をざっと復習してから図形との融合問題に取り組みました。やり方自体は理解できていますが、座標の概念がまだ少し怪しいようで正負を間違えたりx座標とy座標を間違えたりしてしまいます。聞けば分かるので、計算に入る前に図をチェックしてから式を作るようにしてください。最後の問題は方程式の利用と同様で、文字で式を作ってから解くことを意識して下さい!
小5,2026,2026/8/6 11:20,算数,"本日は単位量あたりの計算の続きで速さを扱いました。100m走やマラソン、自動車での移動で説明するとイメージが付きやすいのかどんどんこたえてくれました。ただ問題に進むと手が止まってしまうことが多く、何度もどうやって計算するかを確認しながら進めました。単位換算が元々苦手なので、mとkmの変換などを練習した上で、1時間で30km，60分で30000m、1分で500mのように順番に書いていくように指導しています。
また15分が15/60分であることがなかなか理解できず、突き詰めていくと分数の概念がかなりあやふやな様子でした。1/2が1の半分であることや3/2が1と2の中間であることが分かっていなかったため、数直線を用いて分数概念を復習しました。"
小5,2026,2026/8/6 9:50,算数,本日は2コマ連続のため、２コマ目にまとめて記載いたします。
中3,2026,2026/8/5 20:20,理科,本日も引き続き化学の範囲に取り組みました。新しく習う単元であり、考え方も少し難しい印象を受けたようですが、分からない点を積極的に質問しながら理解を深められたようです。それぞれの物質の名前や化学式はこれから覚えていけば良いですが、電子の移動を中心とする仕組みについてはどの問題を解くときも意識して忘れないようにしておきましょう。
小6,2026,2026/8/5 20:20,国語,本日も引き続き説明文に取り組みました。かなり集中力が高い様子で、どの問題もどんどん解き進めることができましたし、正答率も非常に高かったです。接続語を入れる問題では一文が長い場合に関係性を把握し損ねていたので、文頭に空欄がある場合は文の最後まで読み切ってから考えるように伝えています。記述問題もしっかりかけていますが、文章を前後半の二つに分けるような全体構成を考える練習はこれからも必要に思います。
中3,2026,2026/8/5 18:50,数学,本日は簡単に一次関数の復習をした後二次関数を扱いました。やや発展的な内容まで説明しましたがきちんと理解できていて素晴らしいです。グラフと式、座標の関係を理解できているので応用問題もスムーズに進めることができました。関数と図形の範囲は図形の性質の利用に慣れる必要があるので、ある程度進んだら図形の範囲に戻って進めていきます。
中2,2026,2026/8/5 15:50,国語,"国語は次のテスト範囲を進めていきます。今回は提案や手紙の構成、敬語について扱いました。尊敬語謙譲語の区別はややこしいものもありますが、動作の主体への敬意なのか動作の受け手への敬意なのかを考えて解くようにしましょう。
宿題で漢字ドリルを出しています。無駄に何回も書く必要はないので、毎回手本を隠してテストだと思って書いてください。書けるようになったら次の問題へ進んで良いです。"
中3,2026,2026/8/5 15:50,英語,今回は仮定法を扱いました。If節は過去形、主節は助動詞の過去形というルールですが、時折混ざってしまっているので注意しましょう。また、訳には「できる」の要素がないのに書く時にcouldを使ってしまいがちなので、基本はwould、canの意味があるときはcouldと使い分けしていきましょう。本日で全範囲が終わったので、後半の問題を進める前に単元チェックテストをイチから進めていきます。次回授業時に持ってきてください。
小6,2026,2026/8/5 11:20,算数,本日から総復習の範囲を進めています。最初は数と計算の単元でほぼ全問正解でしたが、大きい数の計算の際に0も含めて筆算しがちなので、0はあとから付け加えるように伝えました。倍数の問題では3の倍数の判定方法を忘れてしまっていたので再度確認示しました。最後の小数の計算は悪くないですが、割り算の余りの小数点の位置には注意しましょう。少し次の授業まで間が空くので宿題は多めに出しています。全然覚えていない単元等があれば飛ばして代わりに後の単元を進めてください。
中2,2026,2026/8/5 11:20,数学,"本日は一次関数の範囲に入りました。まず復習で一年の比例反比例から始めましたが、グラフの書き方や比例定数の考え方などを忘れてしまっていたようなので改めて確認しました。この座標とグラフの書き方は今後も使うので覚えておいてください。
その後一次関数に進みました。関数の定義はしっかり理解できているようですが、変化の割合の問題は眠気もあってやや怪しいので、明日もう一度確認します。"
高3,2026,2026/8/5 9:50,英語,本日は数学の確認の後、英語の構造分析を進めました。句や節は正確に把握できるようになってきたように思います。過去分詞の後置修飾に気づけないことが多いので、この点を意識していきましょう。Vではないのに過去分詞形が出てきたら基本は修飾と考えて良いです。また、今回出てきた同格や省略等の特殊構文も少しずつ覚えていきましょう。
中1,2026,2026/8/5 9:50,数学,本日も引き続き文字式の計算を進めました。マイナスの括弧を外して計算する場合に符号を変え忘れてしまうことがあるので注意が必要ですが、計算方法自体は理解できたようです。その後の乗法除法も同様で、文字式自体は問題ないものの、割り算を分数にする際に割られる数も分数にしてしまったり整数掛ける分数で約分できなかったりと、分数計算自体がまだまだ苦手なようですので、毎回確認しながら進めていきます。
中3,2026,2026/8/4 18:50,英語,本日は並び替え、英作文の問題を通して不定詞の復習を行いました。前回前々回でやった内容がかなり抜けていましたが、やっているうちに思い出してきたのか後半は比較的スムーズに進めることができました。主語の次に動詞を置くことには慣れてきたようで最後はあまり間違えずに書くことが出来ました。宿題は基本的な文の語順と不定詞の復習の範囲から出しています。例題を確認しながら語順を意識して書く練習をしてください。
中3,2026,2026/8/4 15:50,国語,"本日は神山のものづくり課題について一緒に考えました。学習管理アプリを作ってみるとのことで、身近で作りやすいものなので手始めにやってみるのはありかと思います。簡単に要件を考え、AIをもちいてアプリ等を作る際のステップについて確認しました。こういうものはやってみないと分からないので少しでも良いので進めてみてください。
後半は学力検査の過去問に取り組みました。前半はかなり調子よく答えることが出来てましたが、最後の問題は一文が長くなったためか読み違い、読み飛ばしが発生してしまいました。知らないことについて述べている文を読む際はまず文の構造（○○にはAとBとCがある等）を確認したうえで細部を確認するようにすると良いでしょう。"
中3,2026,2026/8/4 14:20,数学,"数学は中3範囲を早めに終わらせていきます。本日は二次方程式の解き方を確認し、平方完成を練習した後、二次関数の利用の単元に取り組みました。前半の立式はうまく出来ていましたが、求められているものの片方を出し忘れていたり、xが正の整数である条件を忘れていたりしていたので注意が必要です。自分がなにをxとおいたのか、なにを聞かれているのかを解く前と解いたあとに必ず確認するようにしていきましょう。
英語理科社会のビルダーは毎日1個を目安に進めていきましょう。"
小6,2026,2026/8/4 11:20,算数,"本日は反比例の続きで応用問題とグラフを扱いました。概ね良く出来ていましたが、数字が割り切れない時に手が止まってしまうことが多いです。y=12÷xの式を求めたたあと、x=12÷yにせずにyの値を代入しているためかと思われます。いろいろな数字を当てはめて探すのではなく、どうやったら計算できるかを考えられるようになる事が次のステップには必要です。できないわけではなく問えば答えられるので、常に式を作ることが手段として浮かんでくるかどうかがポイントになりそうです。
これで範囲は一通り終わったので、次回から復習問題を進めていきます。"
小5,2026,2026/8/4 11:20,国語,本日から小説に入りました。1つ目のまとめと例題の箇所はしっかり集中して解くことが出来ていて、全問正解でした。2つ目はやや集中力が切れてきたのか手遊びしつつもなんとか最後まで解き切ることが出来ていました。穴埋めの問題で何を入れれば良いかわからなくなっていましたが、そもそも何を問われている設問なのかを確認して、その答えを記述だと思って答えてもらうとすぐに答えられていたので、穴埋めに当てはまるものを探すのではなく、問の答えを考えてから穴に入るように選ぶように指導しています。
小5,2026,2026/8/4 9:50,算数,本日も引き続き単位量あたりの計算を扱いました。最初に例題の説明をしながら問いかけをしていたときは簡単な問いでもなかなか答えられませんでした。式を作って考えるのがまだ苦手な様子デすが、他の子がいるので恥ずかしがっていたという要素もあるかもしれません。その後の類題はきちんと解けていました。複合問題になると手が止まってしまっていたので、毎回きちんと20L-1400円などの対応表を書いて考えるように指導しています。ただ、表を書いてみて？というと書けて計算もできるのですが、自分で表を書こうとしない点は課題ですので、次回も確認していきます。
高3,2026,2026/8/4 9:50,理科,"本日は遺伝子と生殖、系統分類の導入を扱いました。遺伝子についてはまず用語がややこしいので、遺伝子DNA染色体などの違いを明確にして理解することが重要です。その上で減数分裂の流れによって染色体上の遺伝子がどう移動していくのかを自分で書けるようにしていきましょう。
系統分類はかなり細かい部分まで問われますが、とりあえずざっくりと分けるとどうなっているのかから考えると良いです。また、何が何に進化していくのかの自分なりのイメージを持つことも大切なので、図表なども参考にしながら進めていきましょう。"
中3,2026,2026/8/3 18:50,数学,本日は二次関数に取り組みました。最初は難しそうと言っていましたが、説明中の質問にもしっかり答えることが出来ており、きちんと理解している様子で、順調に進めることができました。ただ練習問題に取り組むとaの値を無視してしまったり、符号を間違えてしまったりが目立ちました。グラフを書かせるときちんと書けていますし自分で間違いに気付くこともできているので、もう一歩だけ丁寧に考えて答えをきっちり合わせられるようにしていきましょう。
中3,2026,2026/8/3 15:50,理科,"理科については化学範囲→物理範囲の順に進めることとしました。生物範囲と地学範囲については自習で進めていきましょう。今週は授業が多いので宿題と復習のみで大丈夫です。今回は化学範囲の物質と化学変化から始めました。今回は用語や原理、仕組みの確認のため問題ないとは思います。実験系の図は後の応用問題にも出てくるので、どんな現象から何が分かるのかをしっかり整理して覚えておきましょう。次回は今回の範囲の錬成問題を進めます。
BUILDERについて、英語は毎日1項、国語と社会もできれば毎日1項、厳しければ交互に1項ずつ進めるようにして下さい。
"
中3,2026,2026/8/3 14:20,数学,本日からテキストを進めていきます。まずは中3の範囲を終わらせる方針ですが、二次方程式の解法から怪しいということだったので、そこから始めることとしました。因数分解、平方完成、解の公式の使い方を確認した上で問題に取組みました。概ね問題なく解けてはいますが、やや焦り気味のようで、二乗を外す時にマイナスを忘れてしまったり、計算結果で終わって設問の答えを確認していなかったりする点は要注意です。解ける問題をミスしないことが入試においては非常に重要なので、1問1問真剣に取り組むようにしましょう。後半の応用問題はyを使わずにxだけで式を作ることを意識していきましょう。
高3,2026,2026/8/3 11:20,数学,本日は残っていた平面図形の単元を扱いました。図形単体の問題は多くはないですが、数2の図形と方程式で式を作るために必要になってくるので定理や公式を思い出しながら進めていきましょう。また、図を書く際に長さはある程度適当でも良いですが、角度は合わせながら書いた方が圧倒的に気づきやすくなるので、特に直角は丁寧に書くようにしましょう。
中1,2026,2026/8/3 11:20,国語,本日は次の範囲に進み、意見文や広告の単元に進みました。意見文の構成に沿って選択肢を並び替える問題では学習のポイントに書かれている内容に無理やり当てはめて間違えてしまい、広告の方では穴埋め文の関係を捉えられず手が止まってしまいました。また、すべて選べというタイプの問題も4択だから2個選ぶと決めつけて、内容的にはおかしいと分かっている選択肢を選ぶなど、全体として文を読んで意味を考える、理解するということをせずに問題を解くことに意識が向きすぎているようですので、そのあたりをチェックしながらすすめていきます。
小6,2026,2026/8/3 9:50,算数,"本日も引き続き相似について扱いました。比の計算の際にどことどこが対応する辺かを理解するのに時間がかかってしまいました。どうも同じ形ではなく同じ位置で捉えてしまうようでした。何度か確認して出来るようになってきましたし、クロス型はすぐに把握できたようです。
次の縮図は計算方法自体は理解できたものの、単位の変換に苦労してしまいました。1m=100cmなどを書いていくと正しく答えられることも多いため、自分できちんと書いて変換できるように指導しています。"
中1,2026,2026/8/3 9:50,数学,"本日は宿題の確認から始めました。正答率が50%ほどで、その後途中式を書きながら解き直ししてもらったところほとんど間違えずに計算できていたので、毎回きちんと式を書くようにして下さい！また、後半の分数では数が大きくなってしまって時間がかかっていたので、通分の前に約分する、もっと言えば掛ける前に約分するようにすると良いです。
後半は方程式の等式の性質を利用した解法に移りました。最初はあまりしっくり来ていない様子でしたが問題自体はきちんと解けています。この辺りは今後の単元のすべての土台となるのでしっかりマスターしていきましょう。"
中3,2026,2026/8/1 18:50,英語,本日は前回の不定詞の復習で英作文を徹底的に行いました。不定詞がかたまりを作ることを認識するのにかなり時間がかかりましたが、最後には理解できたようです。また日本語と英語の語順が違うことを無視して書き始めることが多いので、英語は主語動詞の語順であることを頭に入れて問題に取り組んでください。宿題は一見多いですが問題数も多くないですし単語も載っているので必ずやってきてください。
中3,2026,2026/8/1 17:20,数学,"本日も一次関数を扱いました。直線の式を求めるやり方はしっかり身に着けることが出来たように思います。座標は(x,y)であることには注意しましょう。また、aやbを求めるために方程式を解く際は必ず都度途中式を書きながらすすめるようにしてください。頭の中で考えるのは計算ミスの原因になりますので、1ステップずつ書きながら計算するようにした方が結果的に早く正確に解けるはずです。
次回は二次関数に進みます。"
